cell,ACTC1.L,CD44.L,CDH1.S,CDX4.L,CHRD.1.S,DLX2.L,DLX3.L,EGR2.L,ELAVL3.L,EPHA2.L,EPHA4.L,EYA1.L,FOXC2.L,GATA2.L,GBX2.2.L,HNF1B.L,HOXA3.S,HOXC10.L,HOXD3.L,KRT12.4.L,MAFB.S,MSX1.L,MSX2.L,MYL1.L,MYOD1.S,NOG.L,OLIG4.L,OTX2.S,PAX3.S,PAX6.S,PAX7.L,PITX1.L,RAX.L,SIX1.L,SNAI1.S,SNAI2.L,SOX10.L,SOX17A.S,SOX2.L,SOX3.S,SOX8.L,SOX9.S,TFAP2A.L,TFAP2C.L,TP63.L,VENTX2.1.L,TBXT.S,ZIC1.S,OLIG3.S,EYA2.S,HOXB6.S,HOXB9.S,HOXC9.S,HOXD11.L
2685806100125100018,400,5,0,0,14,0,2,0,0,2,0,3,6,0,0,0,3,0,0,0,2,0,0,202,16,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0
2685806100125100019,107,5,0,0,2,0,2,0,0,0,1,0,2,0,0,0,1,0,0,0,16,1,0,87,20,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2685806100125100020,47,0,1,1,6,0,2,0,0,1,2,9,6,0,0,1,1,0,0,5,1,0,0,15,2,1,0,1,8,0,9,0,0,11,8,0,0,0,0,1,2,0,1,1,1,0,0,16,2,11,9,2,0,0
2685806100125100021,1,0,1,1,3,0,1,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2685806100125100022,995,36,1,1,19,0,0,1,0,4,7,3,5,1,0,0,6,0,0,2,34,0,0,563,99,0,1,0,0,2,0,1,1,37,9,1,0,1,2,0,0,0,1,0,0,0,1,0,0,5,0,0,2,4
2685806100125100023,15,0,0,0,3,1,2,0,0,10,3,4,4,0,0,0,5,0,1,6,1,0,0,11,0,2,1,0,4,0,2,0,0,10,16,0,0,1,0,0,1,1,0,0,1,0,0,15,0,12,3,3,0,0
2685806100125100024,582,7,0,0,12,0,1,0,0,2,1,1,2,1,0,0,3,0,1,0,12,1,0,314,34,0,0,0,0,2,2,0,0,22,1,0,0,5,1,0,0,4,0,1,0,0,0,0,0,0,0,1,1,0
2685806100125100025,830,16,2,0,28,0,0,0,0,5,2,6,6,0,0,0,5,0,0,0,21,0,0,451,64,0,0,0,0,2,1,1,0,11,3,0,0,0,0,1,0,0,0,2,0,0,0,0,0,6,0,0,2,0
2685806100125100026,87,0,0,0,1,0,0,0,0,1,0,1,4,1,0,0,0,0,0,2,0,0,0,51,10,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0
2685806100125100027,198,11,1,1,4,0,2,0,1,5,1,2,3,0,1,0,1,0,0,3,1,0,0,132,43,0,2,0,0,1,0,0,0,4,3,0,0,0,0,0,0,0,0,1,0,0,0,12,0,2,1,0,1,0
2685806100125100028,3,1,26,0,0,0,18,0,0,3,0,0,0,45,3,0,2,0,0,225,1,2,0,3,0,2,0,1,0,0,0,0,0,0,8,1,0,0,0,0,0,0,11,62,6,0,0,1,1,0,1,0,2,0
2685806100125100029,120,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,98,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2685806100125100030,389,3,0,0,10,0,1,0,0,3,1,2,2,0,0,1,2,0,1,0,1,0,0,229,44,0,1,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,1,0,0
2685806100125100031,108,0,2,1,1,0,0,0,0,3,0,3,3,1,0,0,2,0,0,2,3,0,1,42,8,0,0,0,6,0,1,0,1,13,5,0,0,0,0,0,1,0,0,0,0,0,0,17,0,5,3,1,2,1
