Embryo,Truth image,Test image,Slice number,Truth objects,Test objects,Object IoU threshold,Object TP,Object FP,Object FN,Object Precision,Object Recall/Sensitivity,Object Jaccard Index,Object F-measure
Embryo08,mosaic_Cellbound3_z3_DAPI_mask.tif,mosaic_PolyT_z3_DAPI_mask.tif,1,1340,1193,0.95,0,1193,1340,0.0,0.0,0.0,
Embryo08,mosaic_Cellbound3_z3_DAPI_mask.tif,mosaic_PolyT_z3_DAPI_mask.tif,1,1340,1193,1.0,0,1193,1340,0.0,0.0,0.0,
Embryo09,mosaic_Cellbound3_z3_DAPI_mask.tif,added_image_z3_DAPI_mask.tif,1,2111,2400,0.5,1776,624,335,0.74,0.841,0.649,0.787
Embryo09,mosaic_Cellbound3_z3_DAPI_mask.tif,added_image_z3_DAPI_mask.tif,1,2111,2400,0.55,1733,667,378,0.722,0.821,0.624,0.768
Embryo09,mosaic_Cellbound3_z3_DAPI_mask.tif,added_image_z3_DAPI_mask.tif,1,2111,2400,0.6,1687,713,424,0.703,0.799,0.597,0.748
Embryo09,mosaic_Cellbound3_z3_DAPI_mask.tif,added_image_z3_DAPI_mask.tif,1,2111,2400,0.65,1637,763,474,0.682,0.775,0.57,0.726
Embryo09,mosaic_Cellbound3_z3_DAPI_mask.tif,added_image_z3_DAPI_mask.tif,1,2111,2400,0.7,1567,833,544,0.653,0.742,0.532,0.695
Embryo09,mosaic_Cellbound3_z3_DAPI_mask.tif,added_image_z3_DAPI_mask.tif,1,2111,2400,0.75,1469,931,642,0.612,0.696,0.483,0.651
Embryo09,mosaic_Cellbound3_z3_DAPI_mask.tif,added_image_z3_DAPI_mask.tif,1,2111,2400,0.8,1339,1061,772,0.558,0.634,0.422,0.594
Embryo09,mosaic_Cellbound3_z3_DAPI_mask.tif,added_image_z3_DAPI_mask.tif,1,2111,2400,0.85,1116,1284,995,0.465,0.529,0.329,0.495
Embryo09,mosaic_Cellbound3_z3_DAPI_mask.tif,added_image_z3_DAPI_mask.tif,1,2111,2400,0.9,731,1669,1380,0.305,0.346,0.193,0.324
Embryo09,mosaic_Cellbound3_z3_DAPI_mask.tif,added_image_z3_DAPI_mask.tif,1,2111,2400,0.95,125,2275,1986,0.052,0.059,0.028,0.055
Embryo09,mosaic_Cellbound3_z3_DAPI_mask.tif,added_image_z3_DAPI_mask.tif,1,2111,2400,1.0,0,2400,2111,0.0,0.0,0.0,
Embryo09,mosaic_Cellbound3_z3_DAPI_mask.tif,average_image_z3_DAPI_mask.tif,1,2111,2377,0.5,1777,600,334,0.748,0.842,0.655,0.792
Embryo09,mosaic_Cellbound3_z3_DAPI_mask.tif,average_image_z3_DAPI_mask.tif,1,2111,2377,0.55,1734,643,377,0.729,0.821,0.63,0.773
Embryo09,mosaic_Cellbound3_z3_DAPI_mask.tif,average_image_z3_DAPI_mask.tif,1,2111,2377,0.6,1692,685,419,0.712,0.802,0.605,0.754
Embryo09,mosaic_Cellbound3_z3_DAPI_mask.tif,average_image_z3_DAPI_mask.tif,1,2111,2377,0.65,1640,737,471,0.69,0.777,0.576,0.731
Embryo09,mosaic_Cellbound3_z3_DAPI_mask.tif,average_image_z3_DAPI_mask.tif,1,2111,2377,0.7,1575,802,536,0.663,0.746,0.541,0.702
Embryo09,mosaic_Cellbound3_z3_DAPI_mask.tif,average_image_z3_DAPI_mask.tif,1,2111,2377,0.75,1479,898,632,0.622,0.701,0.492,0.659
Embryo09,mosaic_Cellbound3_z3_DAPI_mask.tif,average_image_z3_DAPI_mask.tif,1,2111,2377,0.8,1346,1031,765,0.566,0.638,0.428,0.6
Embryo09,mosaic_Cellbound3_z3_DAPI_mask.tif,average_image_z3_DAPI_mask.tif,1,2111,2377,0.85,1127,1250,984,0.474,0.534,0.335,0.502
