Embryo,Truth image,Test image,Slice number,Truth objects,Test objects,Object IoU threshold,Object TP,Object FP,Object FN,Object Precision,Object Recall/Sensitivity,Object Jaccard Index,Object F-measure
Embryo01,mosaic_Cellbound3_z3_DAPI_mask_endo.tif,average_image_z3_DAPI_mask_endo.tif,1,48,44,0.9,24,20,24,0.545,0.5,0.353,0.522
Embryo01,mosaic_Cellbound3_z3_DAPI_mask_endo.tif,average_image_z3_DAPI_mask_endo.tif,1,48,44,0.95,7,37,41,0.159,0.146,0.082,0.152
Embryo01,mosaic_Cellbound3_z3_DAPI_mask_endo.tif,average_image_z3_DAPI_mask_endo.tif,1,48,44,1.0,0,44,48,0.0,0.0,0.0,
Embryo01,mosaic_Cellbound3_z3_DAPI_mask_endo.tif,max_image_z3_DAPI_mask_endo.tif,1,48,45,0.5,38,7,10,0.844,0.792,0.691,0.817
Embryo01,mosaic_Cellbound3_z3_DAPI_mask_endo.tif,max_image_z3_DAPI_mask_endo.tif,1,48,45,0.55,37,8,11,0.822,0.771,0.661,0.796
Embryo01,mosaic_Cellbound3_z3_DAPI_mask_endo.tif,max_image_z3_DAPI_mask_endo.tif,1,48,45,0.6,37,8,11,0.822,0.771,0.661,0.796
Embryo01,mosaic_Cellbound3_z3_DAPI_mask_endo.tif,max_image_z3_DAPI_mask_endo.tif,1,48,45,0.65,36,9,12,0.8,0.75,0.632,0.774
Embryo01,mosaic_Cellbound3_z3_DAPI_mask_endo.tif,max_image_z3_DAPI_mask_endo.tif,1,48,45,0.7,36,9,12,0.8,0.75,0.632,0.774
Embryo01,mosaic_Cellbound3_z3_DAPI_mask_endo.tif,max_image_z3_DAPI_mask_endo.tif,1,48,45,0.75,34,11,14,0.756,0.708,0.576,0.731
Embryo01,mosaic_Cellbound3_z3_DAPI_mask_endo.tif,max_image_z3_DAPI_mask_endo.tif,1,48,45,0.8,30,15,18,0.667,0.625,0.476,0.645
Embryo01,mosaic_Cellbound3_z3_DAPI_mask_endo.tif,max_image_z3_DAPI_mask_endo.tif,1,48,45,0.85,23,22,25,0.511,0.479,0.329,0.495
Embryo01,mosaic_Cellbound3_z3_DAPI_mask_endo.tif,max_image_z3_DAPI_mask_endo.tif,1,48,45,0.9,14,31,34,0.311,0.292,0.177,0.301
Embryo01,mosaic_Cellbound3_z3_DAPI_mask_endo.tif,max_image_z3_DAPI_mask_endo.tif,1,48,45,0.95,8,37,40,0.178,0.167,0.094,0.172
Embryo01,mosaic_Cellbound3_z3_DAPI_mask_endo.tif,max_image_z3_DAPI_mask_endo.tif,1,48,45,1.0,0,45,48,0.0,0.0,0.0,
Embryo01,mosaic_Cellbound3_z3_DAPI_mask_endo.tif,mosaic_Cellbound1_z3_DAPI_mask_endo.tif,1,48,44,0.5,32,12,16,0.727,0.667,0.533,0.696
Embryo01,mosaic_Cellbound3_z3_DAPI_mask_endo.tif,mosaic_Cellbound1_z3_DAPI_mask_endo.tif,1,48,44,0.55,31,13,17,0.705,0.646,0.508,0.674
Embryo01,mosaic_Cellbound3_z3_DAPI_mask_endo.tif,mosaic_Cellbound1_z3_DAPI_mask_endo.tif,1,48,44,0.6,28,16,20,0.636,0.583,0.438,0.609
Embryo01,mosaic_Cellbound3_z3_DAPI_mask_endo.tif,mosaic_Cellbound1_z3_DAPI_mask_endo.tif,1,48,44,0.65,25,19,23,0.568,0.521,0.373,0.543
Embryo01,mosaic_Cellbound3_z3_DAPI_mask_endo.tif,mosaic_Cellbound1_z3_DAPI_mask_endo.tif,1,48,44,0.7,23,21,25,0.523,0.479,0.333,0.5
Embryo01,mosaic_Cellbound3_z3_DAPI_mask_endo.tif,mosaic_Cellbound1_z3_DAPI_mask_endo.tif,1,48,44,0.75,18,26,30,0.409,0.375,0.243,0.391
Embryo01,mosaic_Cellbound3_z3_DAPI_mask_endo.tif,mosaic_Cellbound1_z3_DAPI_mask_endo.tif,1,48,44,0.8,12,32,36,0.273,0.25,0.15,0.261
Embryo01,mosaic_Cellbound3_z3_DAPI_mask_endo.tif,mosaic_Cellbound1_z3_DAPI_mask_endo.tif,1,48,44,0.85,6,38,42,0.136,0.125,0.07,0.13
Embryo01,mosaic_Cellbound3_z3_DAPI_mask_endo.tif,mosaic_Cellbound1_z3_DAPI_mask_endo.tif,1,48,44,0.9,2,42,46,0.045,0.042,0.022,0.043
Embryo01,mosaic_Cellbound3_z3_DAPI_mask_endo.tif,mosaic_Cellbound1_z3_DAPI_mask_endo.tif,1,48,44,0.95,1,43,47,0.023,0.021,0.011,0.022
Embryo01,mosaic_Cellbound3_z3_DAPI_mask_endo.tif,mosaic_Cellbound1_z3_DAPI_mask_endo.tif,1,48,44,1.0,0,44,48,0.0,0.0,0.0,
Embryo01,mosaic_Cellbound3_z3_DAPI_mask_endo.tif,mosaic_Cellbound2_z3_DAPI_mask_endo.tif,1,48,63,0.5,27,36,21,0.429,0.562,0.321,0.486
Embryo01,mosaic_Cellbound3_z3_DAPI_mask_endo.tif,mosaic_Cellbound2_z3_DAPI_mask_endo.tif,1,48,63,0.55,26,37,22,0.413,0.542,0.306,0.468
Embryo01,mosaic_Cellbound3_z3_DAPI_mask_endo.tif,mosaic_Cellbound2_z3_DAPI_mask_endo.tif,1,48,63,0.6,20,43,28,0.317,0.417,0.22,0.36
Embryo01,mosaic_Cellbound3_z3_DAPI_mask_endo.tif,mosaic_Cellbound2_z3_DAPI_mask_endo.tif,1,48,63,0.65,13,50,35,0.206,0.271,0.133,0.234
Embryo01,mosaic_Cellbound3_z3_DAPI_mask_endo.tif,mosaic_Cellbound2_z3_DAPI_mask_endo.tif,1,48,63,0.7,10,53,38,0.159,0.208,0.099,0.18
Embryo01,mosaic_Cellbound3_z3_DAPI_mask_endo.tif,mosaic_Cellbound2_z3_DAPI_mask_endo.tif,1,48,63,0.75,6,57,42,0.095,0.125,0.057,0.108
Embryo01,mosaic_Cellbound3_z3_DAPI_mask_endo.tif,mosaic_Cellbound2_z3_DAPI_mask_endo.tif,1,48,63,0.8,4,59,44,0.063,0.083,0.037,0.072
Embryo01,mosaic_Cellbound3_z3_DAPI_mask_endo.tif,mosaic_Cellbound2_z3_DAPI_mask_endo.tif,1,48,63,0.85,3,60,45,0.048,0.062,0.028,0.054
Embryo01,mosaic_Cellbound3_z3_DAPI_mask_endo.tif,mosaic_Cellbound2_z3_DAPI_mask_endo.tif,1,48,63,0.9,1,62,47,0.016,0.021,0.009,0.018
Embryo01,mosaic_Cellbound3_z3_DAPI_mask_endo.tif,mosaic_Cellbound2_z3_DAPI_mask_endo.tif,1,48,63,0.95,0,63,48,0.0,0.0,0.0,
Embryo01,mosaic_Cellbound3_z3_DAPI_mask_endo.tif,mosaic_Cellbound2_z3_DAPI_mask_endo.tif,1,48,63,1.0,0,63,48,0.0,0.0,0.0,
Embryo01,mosaic_Cellbound3_z3_DAPI_mask_endo.tif,mosaic_PolyT_z3_DAPI_mask_endo.tif,1,48,43,0.5,23,20,25,0.535,0.479,0.338,0.505
Embryo01,mosaic_Cellbound3_z3_DAPI_mask_endo.tif,mosaic_PolyT_z3_DAPI_mask_endo.tif,1,48,43,0.55,21,22,27,0.488,0.438,0.3,0.462
