Embryo,Truth image,Test image,Slice number,Truth objects,Test objects,Object IoU threshold,Object TP,Object FP,Object FN,Object Precision,Object Recall/Sensitivity,Object Jaccard Index,Object F-measure
Embryo08,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,average_image_z3_DAPI_mask_ecto.tif,1,49,51,0.9,17,34,32,0.333,0.347,0.205,0.34
Embryo08,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,average_image_z3_DAPI_mask_ecto.tif,1,49,51,0.95,2,49,47,0.039,0.041,0.02,0.04
Embryo08,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,average_image_z3_DAPI_mask_ecto.tif,1,49,51,1.0,0,51,49,0.0,0.0,0.0,
Embryo08,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,max_image_z3_DAPI_mask_ecto.tif,1,49,45,0.5,38,7,11,0.844,0.776,0.679,0.809
Embryo08,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,max_image_z3_DAPI_mask_ecto.tif,1,49,45,0.55,37,8,12,0.822,0.755,0.649,0.787
Embryo08,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,max_image_z3_DAPI_mask_ecto.tif,1,49,45,0.6,35,10,14,0.778,0.714,0.593,0.745
Embryo08,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,max_image_z3_DAPI_mask_ecto.tif,1,49,45,0.65,30,15,19,0.667,0.612,0.469,0.638
Embryo08,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,max_image_z3_DAPI_mask_ecto.tif,1,49,45,0.7,26,19,23,0.578,0.531,0.382,0.553
Embryo08,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,max_image_z3_DAPI_mask_ecto.tif,1,49,45,0.75,23,22,26,0.511,0.469,0.324,0.489
Embryo08,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,max_image_z3_DAPI_mask_ecto.tif,1,49,45,0.8,19,26,30,0.422,0.388,0.253,0.404
Embryo08,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,max_image_z3_DAPI_mask_ecto.tif,1,49,45,0.85,14,31,35,0.311,0.286,0.175,0.298
Embryo08,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,max_image_z3_DAPI_mask_ecto.tif,1,49,45,0.9,6,39,43,0.133,0.122,0.068,0.128
Embryo08,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,max_image_z3_DAPI_mask_ecto.tif,1,49,45,0.95,1,44,48,0.022,0.02,0.011,0.021
Embryo08,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,max_image_z3_DAPI_mask_ecto.tif,1,49,45,1.0,0,45,49,0.0,0.0,0.0,
Embryo08,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,mosaic_Cellbound1_z3_DAPI_mask_ecto.tif,1,49,48,0.5,38,10,11,0.792,0.776,0.644,0.784
Embryo08,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,mosaic_Cellbound1_z3_DAPI_mask_ecto.tif,1,49,48,0.55,37,11,12,0.771,0.755,0.617,0.763
Embryo08,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,mosaic_Cellbound1_z3_DAPI_mask_ecto.tif,1,49,48,0.6,35,13,14,0.729,0.714,0.565,0.722
Embryo08,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,mosaic_Cellbound1_z3_DAPI_mask_ecto.tif,1,49,48,0.65,32,16,17,0.667,0.653,0.492,0.66
Embryo08,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,mosaic_Cellbound1_z3_DAPI_mask_ecto.tif,1,49,48,0.7,27,21,22,0.562,0.551,0.386,0.557
Embryo08,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,mosaic_Cellbound1_z3_DAPI_mask_ecto.tif,1,49,48,0.75,26,22,23,0.542,0.531,0.366,0.536
Embryo08,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,mosaic_Cellbound1_z3_DAPI_mask_ecto.tif,1,49,48,0.8,20,28,29,0.417,0.408,0.26,0.412
Embryo08,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,mosaic_Cellbound1_z3_DAPI_mask_ecto.tif,1,49,48,0.85,17,31,32,0.354,0.347,0.212,0.351
Embryo08,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,mosaic_Cellbound1_z3_DAPI_mask_ecto.tif,1,49,48,0.9,9,39,40,0.188,0.184,0.102,0.186
Embryo08,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,mosaic_Cellbound1_z3_DAPI_mask_ecto.tif,1,49,48,0.95,1,47,48,0.021,0.02,0.01,0.021
Embryo08,mosaic_Cellbound3_z3_DAPI_mask_ecto.tif,mosaic_Cellbound1_z3_DAPI_mask_ecto.tif,1,49,48,1.0,0,48,49,0.0,0.0,0.0,
